id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,xxxx,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 2,product_N-BL-452C,สมุดปกแข็งสีน้ำเงินปกเคลือบ 55แกรม 4/52แผ่น,708,เล่ม
,,สาทร ชั้น 2,product_N-BL-480,สมุดปกแข็งสีน้ำเงิน 55แกรม 4/80แผ่น,558,เล่ม
,,สาทร ชั้น 2,product_N-BL-250C,สมุดปกแข็งสีน้ำเงินเคลือบพลาสติก 60แกรม 2/50แผ่น,428,เล่ม
,,สาทร ชั้น 2,product_N-PPT-9306,สมุดปกพีพี 60แกรม 9/30แผ่น PPT-9306,4500,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6963,สมุดปกพีพีเย็บลวด 70g 9/40แผ่น PPT-9407,2124,เล่ม
,,สาทร ชั้น 2,product_N-PPN-16607,สมุดปกพีพีริมห่วง 70แกรม 16/60แผ่น PPN-16607,1048,เล่ม
,,สาทร ชั้น 2,product_N-PPN-16607-1,Atlux สมุดปกพีพีริมห่วง 70g 16/60แผ่น PPN16607,2580,เล่ม
,,สาทร ชั้น 2,product_N-PPT-32307,สมุดปกพีพีเย็บลวด 70แกรม 32/30แผ่น PPT-32307,1776,เล่ม
,,สาทร ชั้น 2,product_N-PPT-32307-1,Atlux สมุดปกพีพีเย็บลวด ตัด 32/30 แผ่นรวมปก70g PPT-32307,264,เล่ม
,,สาทร ชั้น 2,product_N-PPT-8307,สมุดปกพีพีเย็บลวด 70แกรม 8/30แผ่น PPT-8307,4068,เล่ม
,,สาทร ชั้น 2,product_N-PPT-8307-1,Atlux สมุดปกพีพีอ่อนเย็บลวด 70g 8/30 PPT-8307,2136,เล่ม
,,สาทร ชั้น 2,product_N-PPW-8607,สมุดปกพีพีขาวทึบริมห่วง 70แกรม 8/60แผ่น PPW-8607,336,เล่ม
,,สาทร ชั้น 2,product_N-PPW-8607-1,Atlux สมุดปกพีพีขาวทึบริมห่วง 70G 8/60แผ่น PPW-8607,72,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A51007,สมุดปกพีพีริมห่วง 70แกรม A5/100แผ่น PPW-A51007,2265,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A51007-1,Atlux สมุดริมห่วงปกพีพี 70G A5/100แผ่น PPW-A51007,24,เล่ม
,,สาทร ชั้น 2,product_N-PPB-A5607,สมุดปกพีพีสันห่วงสีดำ 70แกรม A5/60แผ่น PPB-A5607,1176,เล่ม
,,สาทร ชั้น 2,product_N-PPBD-A5607,สมุดปกพีพีสันห่วงปกดำ 70แกรม A5/60 PPBD-A5607,336,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A6407,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A6/40แผ่น PPW-A6407,1800,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A6407-1,Atlux สมุดปกพีพีขาวทึบสันห่วง 70G A6/40แผ่น PPW-A6407,11400,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A7607,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A7/60แผ่น PPW-A7607,444,เล่ม
,,สาทร ชั้น 2,product_N-PPW-A7607-1,Atlux สมุดปกพีพีขาวทึบสันห่วง 70G A7/60แผ่น PPW-A7607,1248,เล่ม
,,สาทร ชั้น 2,product_N-PVC-A58080,สมุดปกพีพีสันห่วง 80แกรม PVC-A5/80 PVC A58080,256,เล่ม
,,สาทร ชั้น 2,product_N-PP-1660POOH,Atlux สมุดปกพีพีสันห่วง ตัด16 60 แผ่น หมีพู,1704,เล่ม
,,สาทร ชั้น 2,product_N-PP-1660MICKEY,Atlux สมุดปกพีพีสันห่วง ตัด16 Mickey,960,เล่ม
,,สาทร ชั้น 2,product_N-PP-860POOR,Atlux สมุดปกพีพีสันห่วง ตัด8 60 แผ่น หมีพู,960,เล่ม
,,สาทร ชั้น 2,product_N-PP-860MICKEY,Atlux สมุดปกพีพีสันห่วง ตัด8 Mickey,180,เล่ม
,,สาทร ชั้น 2,product_N-PPW-OF-8507-1,สมุดปกพีพีริมห่วง PPW-OF-8507,1860,เล่ม
,,สาทร ชั้น 2,product_N-PPW-OF-A5807-1,สมุดปกพีพีริมห่วง PPW-OF-A5807,2364,เล่ม
,,สาทร ชั้น 2,product_N-PPW-OF-A6807-1,สมุดปกพีพีริมห่วง PPW-OF-A6807,948,เล่ม
