id,uom_so_id
product_2800698,หีบ/12
product_2800699,หีบ/12
product_2800700,หีบ/12
product_2800750,หีบ/12
product_2800751,หีบ/12
product_2800752,หีบ/12
product_2800753,หีบ/12
product_2800754,หีบ/12
product_2800755,หีบ/12
product_2800756,หีบ/12
product_2800757,หีบ/12
product_2800709,หีบ/12
product_2800708,หีบ/12
product_2800707,หีบ/12
product_2800706,หีบ/12
product_2800705,หีบ/12
product_2800704,หีบ/12
product_2800703,หีบ/12
product_2800728,หีบ/12
product_2800727,หีบ/12
product_2800726,หีบ/12
product_2800723,หีบ/12
product_2800722,หีบ/12
product_2800721,หีบ/12
product_2800720,หีบ/12
