id,Category_NOUSE,Name__NOUSE,rate_step_ids/amount_over,rate_step_ids/percent_commission
product_N-NV-M-GR6075,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนสันกาว ตัด16/60แผ่น 75G NV-M-GR6075,12,0
product_N-NVSS-GR6075-1,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนสันกาวทรงยาว 60แผ่น 75G NVSS-GR6075 ,8.25,0
product_N-NV-8307-1,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนไสกาว 70g 8/30 แผ่น NV8307,7.6,0
product_N-PBF-8407-1,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนไสกาว 70g 8/40แผ่น PBF8407,9.35,0
product_N-NV-9407-1,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนสันกาว 70g 9/40 แผ่น NV-9407,6.45,0
product_N-GNB-B5407-1,สมุดปกแฟนซีสันกาว,Atlux สมุดปกอ่อนสันกาวตัด 8/40 แผ่น 70G GNB-B5407,7.5,0
product_4845690,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวตัด8/40 แผ่นรวมปก 70แกรม-ลายA,12.5,0
product_4845691,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวตัด8/40 แผ่นรวมปก 70แกรม-ลายB,12.5,0
product_4845692,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวตัด8/40 แผ่นรวมปก 70แกรม-ลายC,12.5,0
product_4845693,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวตัด8/40 แผ่นรวมปก 70แกรม-ลายD,12.5,0
product_4845694,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวA5/40 แผ่นรวมปก 70แกรม-ลายA,9.85,0
product_4845695,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวA5/40 แผ่นรวมปก 70แกรม-ลายB,9.85,0
product_4845696,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวA5/40 แผ่นรวมปก 70แกรม-ลายC,9.85,0
product_4845697,สมุดปกแฟนซีสันกาว,B2S สมุดปกอ่อนสันกาวA5/40 แผ่นรวมปก 70แกรม-ลายD,9.85,0
product_3168615,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดสันกาว B5 24 แผ่น 80 แกรม ,11,0
product_2526054,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดสันกาว B5 40 แผ่น 80 แกรม,13.5,0
product_1802561,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดสันกาว B5 70 แกรม 30 แผ่นรวมปก,9.75,0
product_2800633,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดปกอ่อนสันกาว  B5 70 แกรม 40 แผ่นรวมปกA,11.25,0
product_2800635,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดปกอ่อนสันกาว  B5 70 แกรม 40 แผ่นรวมปก B,11.25,0
product_2800636,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดปกอ่อนสันกาว  B5 70 แกรม 40 แผ่นรวมปกC,11.25,0
product_2800637,สมุดปกแฟนซีสันกาว,เทสโก้ สมุดปกอ่อนสันกาว  B5 70 แกรม 40 แผ่นรวมปก D,11.25,0
__export__.product_product_7004,สมุดปกแฟนซีสันกาว,MGH สมุดปกอ่อนสันกาว 8/30 GNB-B5307,9,0
__export__.product_product_7005,สมุดปกแฟนซีสันกาว,MGH สมุดปกอ่อนสันกาวตัด 8/40 แผ่น 70G GNB-B5407,11.166667,0
product_114236,สมุดปกแฟนซีสันกาว,MKR สมุดปกอ่อนสันกาว 8/30 GNB-B5307,8.83,0
product_114253,สมุดปกแฟนซีสันกาว,MKR สมุดปกอ่อนสันกาวตัด 8/40 แผ่น 70G GNB-B5407,11.08,0
__export__.product_product_7529,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาว 60แผ่น 75G NV-M-GR6075,17.5,0
__export__.product_product_7531,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาวทรงยาว 60แผ่น 75G NVSS-GR6075,12.5,0
product_176096,สมุดปกแฟนซีสันกาว,OFC สมุดปกภาพสันกาว 60G. 9/50 แผ่นรวมปก AF-10-PB,8.17,0
product_176896,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนไสกาว 70g 8/30 แผ่น  NV8307,10.5,0
product_172859,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาวสีเมทาิลิค 70G 8/60แผ่น NV-M-8607 ,16.5,0
product_179654,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาวตัด 8/40 แผ่น 70G GNB-B5407,10.58,0
product_176898,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาวสีเมทาลิค A5/40 แผ่น 70g NV-M-A5407,10.17,0
__export__.product_product_7576,สมุดปกแฟนซีสันกาว,OFC สมุดปกอ่อนสันกาว A5/50แผ่น 70G NV-A5507,11,0
product_N-DWF8407,สมุดปกแฟนซีสันห่วง,สมุดปกอ่อนสันห่วง 70แกรม 8/40แผ่น เคลือบโฮโลแกรม DWF-8407,17.5,1.5
product_2800534,สมุดปกแฟนซีสันห่วง,เทสโก้ สมุดปกอ่อนสันห่วง 70G 8/40แผ่น เคลือบโฮโลแกรม DWF-8407,17.5,0
__export__.product_product_6943,สมุดปกแฟนซีสันห่วง,สมุดปกอ่อนสันห่วง 70G A6/40แผ่นรวมปก  DWF-A6407,8.75,1.5
__export__.product_product_7599,สมุดปกแฟนซีสันห่วง,เทสโก้ สมุดแฟชั่น คละแบบ 99 แพ็ค 3/6 ,68,0
__export__.product_product_6944,สมุดปกแฟนซีสันห่วง,สมุดปกอ่อนริมห่วงบน A6/40แผ่น 70G DWFT-A6407,8.333333,1.5
product_3454188,สมุดปกแฟนซีสันห่วง,เทสโก้ สมุดปกอ่อนสันห่วง A6/40s 75g-ECO,11.65,0
product_2800638,สมุดปกแฟนซีสันห่วง,เทสโก้ สมุดปกอ่อนสันห่วง A6 70 แกรม 40 แผ่นรวมปกA,9.4,0
product_2800639,สมุดปกแฟนซีสันห่วง,เทสโก้ สมุดปกอ่อนสันห่วง A6 70 แกรม 40 แผ่นรวมปกB,9.4,0
