id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 1,product_P-PCWF-027,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์11สีไข่ไก่,241,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-028,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์12สีเหลืองเข้ม,435,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-029,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์13สีฟ้า,143,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-030,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์14สีเขียว,126,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-031,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์15สีส้ม,263,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-032,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์16สีแดง,556,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-038,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์17สีชมพู,0,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-039,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์18สีโอรส,43,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-040,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์19สีส้ม,172,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-002,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์2 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-018,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์2สีเขียวเข้ม,0,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-041,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์20สีเขียว,0,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-042,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์21สีเหลือง,149,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-003,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์3 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-019,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์3สีเหลือง,0,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-004,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์4 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-020,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์4สีชมพูเข้ม,0,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-005,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์5 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-021,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์5สีชมพูอ่อน,161,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-006,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์6 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-022,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์6สีฟ้าอ่อน,79,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-007,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์7 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-023,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์7สีครีม,223,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-008,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์8 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-024,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์8สีเขียวอ่อน,35,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-025,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์9สีส้มโอรส,29,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-001,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์1สีฟ้าเข้ม,940,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-010,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์10สีม่วง,260,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-011,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์11สีไข่ไก่,290,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-012,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์12สีเหลืองเข้ม,420,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-013,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์13สีฟ้า,45,ห่อ
