id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id_XX,inventory_line_id/product_qty,inventory_line_id/product_uom
,,มหาชัย,product_112477,Q-BIZ กรดาษถ่ายเอกสารสีเหลือง 80g A4 100 แผ่น No.12,0,ห่อ
,,มหาชัย,product_94809,Q-BIZ กระดาษถ่ายเอกสารสีเข้ม 80g A4 200 แผ่น (คละสีNo.12-15),800,ห่อ
,,มหาชัย,product_235307,Q-BIZ กระดาษถ่ายเอกสารสีม่วง 80g A4 100 แผ่น No.10,0,ห่อ
,,มหาชัย,product_235308,Q-BIZ กระดาษถ่ายเอกสารสีเหลืองทอง 80g A4 100 แผ่น No.11,0,ห่อ
,,มหาชัย,__export__.product_product_7292,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์10สีม่วง,,ห่อ
,,มหาชัย,__export__.product_product_6984,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์11สีไข่ไก่,,ห่อ
,,มหาชัย,__export__.product_product_6985,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์12สีเหลืองเข้ม,,ห่อ
,,มหาชัย,__export__.product_product_6986,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์13สีฟ้า,,ห่อ
,,มหาชัย,__export__.product_product_6987,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์14สีเขียว,,ห่อ
,,มหาชัย,__export__.product_product_6988,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์15สีส้ม,,ห่อ
,,มหาชัย,__export__.product_product_6989,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์16สีแดง,,ห่อ
,,มหาชัย,__export__.product_product_6975,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์1สีฟ้าเข้ม,,ห่อ
,,มหาชัย,__export__.product_product_6976,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์2สีเขียวเข้ม,,ห่อ
,,มหาชัย,__export__.product_product_6977,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์3สีเหลือง,,ห่อ
,,มหาชัย,__export__.product_product_6978,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์4สีชมพูเข้ม,,ห่อ
,,มหาชัย,__export__.product_product_6979,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์5สีชมพูอ่อน,,ห่อ
,,มหาชัย,__export__.product_product_6980,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์6สีฟ้าอ่อน,,ห่อ
,,มหาชัย,__export__.product_product_6981,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์7สีครีม,,ห่อ
,,มหาชัย,__export__.product_product_6982,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์8สีเขียวอ่อน,,ห่อ
,,มหาชัย,__export__.product_product_6983,กระดาษถ่ายเอกสารสี A4 80แกรม 100แผ่น เบอร์9สีส้มโอรส,,ห่อ
,,มหาชัย,__export__.product_product_6917,กระดาษถ่ายเอกสารสี A4 80แกรม 200แผ่น คละสี เบอร์1-4,,ห่อ
,,มหาชัย,__export__.product_product_6918,กระดาษถ่ายเอกสารสี A4 80แกรม 200แผ่น คละสี เบอร์12-16,,ห่อ
,,มหาชัย,__export__.product_product_6919,กระดาษถ่ายเอกสารสี A4 80แกรม 200แผ่น คละสี เบอร์17-21,,ห่อ
,,มหาชัย,product_63_P-P01,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น คละสี,795,ห่อ
