"id","name","vat"
"mh_res_partner_42","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาสุขุมวิทอโศก","0105537143215"
"mh_res_partner_53","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาสุราษฎร์ธานี","0105537143215"
"mh_res_partner_38-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_42-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_53-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_45","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาตึกคอมขอนแก่น","0105537143215"
"mh_res_partner_51","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาเกตเวย์เอกมัย","0105537143215"
"mh_res_partner_46","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาเสนาเซ็นเตอร์","0105537143215"
"mh_res_partner_21","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาโรบินสันรัชดา","0105537143215"
"mh_res_partner_20","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาฟิวเจอร์พาร์ค รังสิต","0105537143215"
"mh_res_partner_20-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_45-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_51-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
"mh_res_partner_46-1","บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา","0105537143215"
